latitude,longitude,clusterid
40.64163,-73.92831,2
40.69255,-73.987274,2
40.634354,-74.02293,2
40.664112,-73.94777,2
40.515675,-74.23762,-1
40.733776,-73.986824,1
40.650276,-74.01176,2
40.72033,-73.76115,-1
40.666397,-73.755516,5
40.81001,-73.958725,1
40.74942,-73.940544,3
40.66857,-73.798355,5
40.60957,-73.81905,-1
40.87525,-73.8756,1
40.617683,-73.917076,-1
40.71617,-73.95952,2
40.673267,-73.88654,2
40.840237,-73.837555,1
40.730137,-73.92693,3
40.62897,-73.906586,-1
40.698925,-73.80273,5
40.616295,-73.92991,2
40.753395,-73.79243,-1
40.65008,-73.96101,2
40.619698,-74.10771,-1
40.753895,-73.862114,3
40.55692,-74.205956,-1
40.723198,-73.950455,2
40.735374,-73.91917,3
40.759075,-73.86985,3
40.635998,-74.11747,-1
40.693035,-73.8096,5
40.607025,-74.16399,-1
40.774986,-73.90345,3
40.584904,-73.95831,2
40.749,-73.9937,1
40.61277,-73.925896,2
40.731018,-73.985916,1
40.811398,-73.90777,1
40.651707,-73.86579,-1
40.736145,-73.92651,3
40.743057,-73.87769,3
